UserID,Country,Language,Gender,RegDate,AgeRDATE,Fstcad,Fstpd,Pcsumstk,Pcsumwin,Pcsumbet,Pcfstdate,Pclstdate,Pcsumday,Pcintday,Pcnet,Pcab,Pcdayspc,TOPsmstk,TOPpcnet,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,Segment,Segment_Name
1325806,40,2,1,2/1/2005,23,2/10/2006,2/10/2006,4876.0,4729.5,1465,2/10/2006,2006-10-28,9,261,146.5,3.328327645,3.448275862,0,0,123,9,4876.0,83.6436170212766,1.717557251908397,0.141782862680381,4,New Casual Players
1325812,40,2,1,2/1/2005,18,2/6/2005,2/4/2005,515.04,510.5,463,2/6/2005,2006-12-10,9,673,4.54,1.112397408,1.337295691,0,0,80,9,515.04,89.36170212765957,1.717557251908397,0.014976178341858784,4,New Casual Players
1325816,208,11,1,2/1/2005,19,9/15/2005,9/13/2005,328.25,322.25,110,9/15/2005,2005-12-27,6,104,6.0,2.984090909,5.769230769,0,0,428,6,328.25,43.08510638297872,1.1450381679389312,0.009544754855380448,2,Inactive Casual
1325824,756,7,1,2/1/2005,35,2/1/2005,2/1/2005,62995.25,60219.25,14337,2/1/2005,2005-06-12,39,132,2776.0,4.393893423,29.54545455,0,0,626,39,62995.25,16.75531914893617,7.442748091603053,1.8317569483729024,0,Low Value Dormant
1325834,208,11,1,2/1/2005,30,2/15/2005,2/1/2005,18290.0,17845.5,178,2/15/2005,2005-09-23,25,221,444.5,102.752809,11.31221719,0,0,523,25,18290.0,30.45212765957447,4.770992366412214,0.5318311235488451,2,Inactive Casual
1325854,40,2,1,2/1/2005,28,2/1/2005,2/1/2005,18454.61,17088.61,13845,2/1/2005,2006-11-20,105,658,1366.0,1.332944023,15.95744681,0,0,100,105,18454.61,86.70212765957447,20.0381679389313,0.5366176036607847,4,New Casual Players
1325867,300,8,1,2/1/2005,25,2/4/2005,2/1/2005,1093.5,947.0,421,2/4/2005,2005-10-28,6,267,146.5,2.597387173,2.247191011,0,0,488,6,1093.5,35.1063829787234,1.1450381679389312,0.03179646438494599,2,Inactive Casual
1325881,300,8,1,2/1/2005,31,2/27/2006,2/2/2005,5377.6,4276.85,4351,2/27/2006,2006-10-19,6,235,1100.75,1.23594576,2.553191489,0,0,132,6,5377.6,82.4468085106383,1.1450381679389312,0.15636823674118477,4,New Casual Players
1325899,250,6,1,2/1/2005,18,2/19/2005,2/19/2005,3902.2996,3523.3,70,2/19/2005,2005-03-13,14,23,378.9996,55.74713714,60.86956522,0,0,717,14,3902.2996,4.654255319148936,2.6717557251908395,0.1134698950624499,0,Low Value Dormant
1325920,40,2,1,2/1/2005,33,9/3/2006,9/3/2006,633.0,624.0,867,9/3/2006,2006-11-05,6,64,9.0,0.730103806,9.375,0,0,115,6,633.0,84.70744680851064,1.1450381679389312,0.01840618377290426,4,New Casual Players
1325944,208,11,1,2/1/2005,31,2/21/2005,2/21/2005,1013.51,877.57,276,2/21/2005,2006-03-20,6,393,135.94,3.672137681,1.526717557,0,0,345,6,1013.51,54.12234042553191,1.1450381679389312,0.02947053920327993,1,Recent Low Spenders
1326008,40,2,1,2/1/2005,36,2/13/2005,2/1/2005,13310.0,13053.5,159,2/13/2005,2006-01-11,17,333,256.5,83.71069182,5.105105105,0,0,413,17,13310.0,45.07978723404255,3.2442748091603053,0.3870241801222049,2,Inactive Casual
1326037,380,3,1,2/1/2005,48,2/26/2005,2/26/2005,20154.43,19427.93,226,2/26/2005,2006-02-09,39,349,726.5,89.17889381,11.1747851,0,0,384,39,20154.43,48.93617021276596,7.442748091603053,0.5860444587964215,2,Inactive Casual
1326044,276,2,1,2/1/2005,29,2/8/2005,2/4/2005,729.0,630.0,327,2/8/2005,2005-03-03,4,24,99.0,2.229357798,16.66666667,0,0,727,4,729.0,3.324468085106383,0.7633587786259541,0.021197642923297327,0,Low Value Dormant
1326047,300,8,1,2/1/2005,19,6/22/2006,6/20/2006,282.0,205.0,163,6/22/2006,2007-01-31,9,224,77.0,1.73006135,4.017857143,0,0,28,9,282.0,96.27659574468085,1.717557251908397,0.008199911254279624,4,New Casual Players
1326069,276,2,1,2/1/2005,35,2/5/2005,2/5/2005,7892.5,7399.0,230,2/5/2005,2006-03-15,42,404,493.5,34.31521739,10.3960396,0,0,350,42,7892.5,53.45744680851063,8.015267175572518,0.22949574317163804,2,Inactive Casual
1326085,756,2,1,2/1/2005,23,2/18/2005,2/1/2005,1103.0,1042.25,1321,2/18/2005,2007-02-28,22,741,60.75,0.834973505,2.968960864,0,0,0,22,1103.0,100.0,4.198473282442748,0.03207270253003697,4,New Casual Players
1326124,616,9,1,2/1/2005,31,2/12/2005,2/11/2005,392.5,336.0,299,2/12/2005,2006-08-03,12,538,56.5,1.31270903,2.230483271,0,0,209,12,392.5,72.20744680851064,2.2900763358778624,0.011412997047179973,1,Recent Low Spenders
1326138,56,6,1,2/1/2005,30,2/6/2005,2/2/2005,342.5,232.5,62,2/6/2005,2006-11-01,6,634,110.0,5.524193548,0.94637224,0,0,119,6,342.5,84.17553191489363,1.1450381679389312,0.00995911207301692,4,New Casual Players
1326202,276,2,1,2/1/2005,40,2/1/2005,2/1/2005,1331.0,1242.0,260,2/1/2005,2006-10-19,6,626,89.0,5.119230769,0.958466454,0,0,132,6,1331.0,82.4468085106383,1.1450381679389312,0.03870241801222049,4,New Casual Players
1326214,276,2,1,2/1/2005,29,11/12/2005,2/7/2005,28087.08,28750.09,109,11/12/2005,2006-10-30,41,353,-663.01,257.679633,11.61473088,0,0,121,41,28087.08,83.9095744680851,7.8244274809160315,0.8167076716023125,4,New Casual Players
1326222,724,4,1,2/1/2005,19,11/14/2005,10/6/2005,77.5,52.0,33,11/14/2005,2005-11-18,4,5,25.5,2.348484848,80.0,0,0,467,4,77.5,37.898936170212764,0.7633587786259541,0.0022535217099527334,2,Inactive Casual
1326224,616,9,1,2/1/2005,28,2/1/2005,2/1/2005,10988.5173,11184.325,69,2/1/2005,2005-05-14,22,103,-195.8077,159.2538739,21.3592233,0,0,655,22,10988.5173,12.898936170212766,4.198473282442748,0.31952080381601533,0,Low Value Dormant
1326250,276,2,1,2/1/2005,26,8/21/2005,2/4/2005,113843.9,110214.11,73925,8/21/2005,2006-12-15,178,482,3629.79,1.539991884,36.92946058,0,0,75,178,113843.9,90.02659574468085,33.969465648854964,3.310318712202425,3,VIP High Rollers
1326277,724,4,1,2/1/2005,22,6/1/2006,5/30/2006,60511.25,56987.67,693,6/1/2006,2007-02-27,103,272,3523.58,87.31782107,37.86764706,0,0,1,103,60511.25,99.86702127659575,19.65648854961832,1.7595279428564818,4,New Casual Players
1326296,380,3,1,2/1/2005,29,2/2/2005,2/2/2005,2109.71,2080.71,9545,2/2/2005,2005-02-19,12,18,29.0,0.221027763,66.66666667,0,0,739,12,2109.71,1.7287234042553192,2.2900763358778624,0.061345513376830724,0,Low Value Dormant
1326298,276,2,1,2/1/2005,28,8/1/2006,2/1/2005,44277.8494,42653.35,348,8/1/2006,2006-12-27,45,149,1624.4994,127.2351994,30.20134228,0,0,63,45,44277.8494,91.62234042553192,8.587786259541986,1.2874979986182917,4,New Casual Players
1326307,724,12,1,2/1/2005,30,2/26/2005,2/4/2005,1051367.5,1043516.0,1578,2/26/2005,2007-02-24,212,729,7851.5,666.2658428,29.08093278,1,1,4,212,1051367.5,99.46808510638297,40.458015267175576,30.57134821146749,3,VIP High Rollers
1326311,208,11,1,2/1/2005,29,2/1/2005,2/1/2005,44195.588,41705.64,1494,2/1/2005,2006-10-12,130,619,2489.948,29.58205355,21.00161551,0,0,139,130,44195.588,81.5159574468085,24.80916030534351,1.2851060263500196,3,VIP High Rollers
1326316,276,2,1,2/1/2005,23,1/20/2007,2/2/2005,34985.5,33891.5,623,1/20/2007,2007-02-02,7,14,1094.0,56.1565008,50.0,0,0,26,7,34985.5,96.54255319148936,1.3358778625954197,1.0172978552716305,4,New Casual Players
1326325,250,6,1,2/1/2005,26,3/6/2005,2/1/2005,2141.75,2082.0,555,3/6/2005,2006-10-10,7,584,59.75,3.859009009,1.198630137,0,0,141,7,2141.75,81.25,1.3358778625954197,0.062277162868274415,4,New Casual Players
